Baseline 100%T,,R1 Sulfuric acid + Ferric Sulfate,,R2 Sulfuric acid + Ferric Sulfate,,R3 Sulfuric acid + Ferric Sulfate,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
684.0076904,0.1219133958,684.0076904,0.2340075672,684.0076904,0.1093097031,684.0076904,0.08085215092,
682.9918213,0.1228186786,682.9918213,0.2330070138,682.9918213,0.1075823605,682.9918213,0.07920275629,
682.0119019,0.1234968305,682.0119019,0.2317733467,682.0119019,0.1066784263,682.0119019,0.07822342217,
680.9954224,0.1239667535,680.9954224,0.2310501337,680.9954224,0.1056959331,680.9954224,0.07703284919,
680.0148926,0.1246914789,680.0148926,0.2304162532,680.0148926,0.1047090068,680.0148926,0.0760653615,
678.9977417,0.1251731515,678.9977417,0.2290637791,678.9977417,0.1030412987,678.9977417,0.07517056912,
678.0166016,0.1258257031,678.0166016,0.2282992452,678.0166016,0.1017797962,678.0166016,0.07396152616,
676.9989014,0.126445666,676.9989014,0.2271445394,676.9989014,0.1001569852,676.9989014,0.07261631638,
676.0170898,0.1267726421,676.0170898,0.2265108377,676.0170898,0.09951575845,676.0170898,0.07159212232,
674.9987183,0.1274165511,674.9987183,0.2249753773,674.9987183,0.09796954691,674.9987183,0.07048091292,
674.0164185,0.1279320568,674.0164185,0.2245230377,674.0164185,0.09711872786,674.0164185,0.06932060421,
672.9973145,0.1282652617,672.9973145,0.2235736549,672.9973145,0.09561676532,672.9973145,0.06873454154,
672.0144653,0.1290456653,672.0144653,0.2223444283,672.0144653,0.09438599646,672.0144653,0.06751228869,
670.994812,0.12940301,670.994812,0.2213015407,670.994812,0.09337244928,670.994812,0.0665082559,
670.0112915,0.1299594343,670.0112915,0.2204516232,670.0112915,0.09179668128,670.0112915,0.06546870619,
668.9909668,0.1305397749,668.9909668,0.2192924321,668.9909668,0.090851143,668.9909668,0.06435963511,
668.0068359,0.1303438842,668.0068359,0.2186731994,668.0068359,0.08990039676,668.0068359,0.06354919821,
666.9859619,0.1297725588,666.9859619,0.2179804444,666.9859619,0.08918794245,666.9859619,0.06243100017,
666.0012207,0.1297705024,666.0012207,0.2169300914,666.0012207,0.08786186576,666.0012207,0.06159452349,
665.0162354,0.129755035,665.0162354,0.215289861,665.0162354,0.08660924435,665.0162354,0.06054501981,
663.9943848,0.1296057403,663.9943848,0.2148980945,663.9943848,0.0858040303,663.9943848,0.05979296193,
663.0087891,0.1297731251,663.0087891,0.2140434384,663.0087891,0.08436989039,663.0087891,0.05851047859,
661.9863281,0.1297865212,661.9863281,0.2131390423,661.9863281,0.0832233727,661.9863281,0.05762124062,
661.0001831,0.1297309995,661.0001831,0.2124592811,661.0001831,0.08245961368,661.0001831,0.05673924834,
660.0136108,0.1296850741,660.0136108,0.2114425749,660.0136108,0.08150324225,660.0136108,0.05604675785,
658.9902954,0.130100444,658.9902954,0.2108047605,658.9902954,0.08021963388,658.9902954,0.0551234521,
658.0032349,0.1295835525,658.0032349,0.2100085467,658.0032349,0.07978762686,658.0032349,0.05486132205,
657.0158691,0.1296728998,657.0158691,0.2099938542,657.0158691,0.07884537429,657.0158691,0.05386064574,
655.9915771,0.1297589839,655.9915771,0.2088188231,655.9915771,0.07795716822,655.9915771,0.05282592773,
655.0036621,0.1298553497,655.0036621,0.2082163841,655.0036621,0.07676278055,655.0036621,0.05173432454,
654.0153809,0.1299442351,654.0153809,0.2076039612,654.0153809,0.07584320754,654.0153809,0.05087495968,
652.9902344,0.1299481839,652.9902344,0.2071058601,652.9902344,0.07485306263,652.9902344,0.05073430017,
652.0014038,0.1301105022,652.0014038,0.2065457851,652.0014038,0.07394050062,652.0014038,0.04983542114,
651.0122681,0.1301131248,651.0122681,0.20591712,651.0122681,0.07318346947,651.0122681,0.04902205244,
649.9862061,0.1302572638,649.9862061,0.2050161064,649.9862061,0.07207921147,649.9862061,0.0483610481,
648.996521,0.1303461194,648.996521,0.2047490329,648.996521,0.07119365036,648.996521,0.04755938798,
648.0065308,0.130155623,648.0065308,0.2043854296,648.0065308,0.07114552706,648.0065308,0.04730218649,
647.0162354,0.1304053515,647.0162354,0.2032970488,647.0162354,0.07011609524,647.0162354,0.04592567682,
645.9890137,0.130221203,645.9890137,0.2029874474,645.9890137,0.06963208318,645.9890137,0.04592844099,
644.9981079,0.1304819733,644.9981079,0.2022878975,644.9981079,0.06879100949,644.9981079,0.04539111257,
644.007019,0.1306804121,644.007019,0.2014862895,644.007019,0.06809918582,644.007019,0.04463374987,
643.015564,0.1305393428,643.015564,0.2009239793,643.015564,0.06751265377,643.015564,0.04450613633,
641.9871826,0.1307052076,641.9871826,0.1998640448,641.9871826,0.06633083522,641.9871826,0.04350397363,
640.9951782,0.130795002,640.9951782,0.1998539567,640.9951782,0.06592142582,640.9951782,0.04250531644,
640.0028687,0.1308674514,640.0028687,0.199143827,640.0028687,0.0650556013,640.0028687,0.04210392386,
639.010376,0.1308266968,639.010376,0.1987863481,639.010376,0.06499507278,639.010376,0.04188995063,
638.0175171,0.1308940798,638.0175171,0.1979419738,638.0175171,0.06424082816,638.0175171,0.04145589098,
636.9876099,0.131229952,636.9876099,0.1974694729,636.9876099,0.0631262064,636.9876099,0.0406293422,
635.9942017,0.1308914572,635.9942017,0.1972860098,635.9942017,0.06337549537,635.9942017,0.04045800492,
635.0005493,0.1311770827,635.0005493,0.196267724,635.0005493,0.06255358458,635.0005493,0.03989632428,
